17,39,28,27,4,40,7,49,37,21
34,12,45,9,25,30,35,2,49,3
47,3,45,6,12,29,42,34,1,35
47,29,30,2,45,12,34,42,8,38
0,37,40,17,7,39,27,21,19,28
18,10,48,44,46,19,16,21,32,33
47,2,11,29,42,3,37,7,40,30
39,49,0,17,28,27,4,11,26,40
38,3,42,13,47,12,45,2,29,30
34,30,1,12,25,49,29,45,3,2
48,27,36,19,46,16,5,21,31,20
7,29,26,49,30,6,24,39,37,34
1,9,34,45,30,2,3,25,47,29
38,42,8,47,2,3,12,6,45,29
33,16,15,18,10,36,48,5,32,19
33,14,16,5,18,32,10,48,19,46
10,48,33,19,5,21,36,32,14,46
0,40,4,28,39,27,7,49,21,26
5,10,48,20,16,33,31,36,14,46
46,21,48,4,17,27,10,0,37,40
31,27,39,28,10,48,36,0,23,17
19,46,17,4,48,27,0,43,40,26
6,2,37,40,42,47,4,35,49,0
26,43,39,31,7,17,27,49,20,25
11,29,26,30,7,23,39,34,9,44
34,9,30,1,45,12,49,29,7,39
23,43,7,39,17,11,49,27,0,40
28,0,39,17,7,48,4,10,21,31
27,39,0,17,7,49,40,4,31,48
30,3,11,47,34,9,2,6,45,12
29,34,9,3,25,45,12,1,11,47
20,28,27,36,17,39,10,48,23,0
46,33,19,48,16,10,5,21,4,44
32,15,16,14,5,10,18,48,19,46
9,1,30,25,45,12,29,49,3,2
49,1,2,40,34,28,9,45,7,12
10,31,28,48,27,0,17,20,39,16
4,0,7,40,17,11,39,49,27,46
8,42,13,47,3,2,45,12,6,29
7,0,27,28,17,49,26,4,40,11
17,0,4,7,49,39,28,37,27,21
8,38,45,13,12,1,3,42,30,25
38,47,3,2,13,8,6,29,45,12
26,23,21,17,40,7,39,19,11,0
46,5,21,19,43,48,26,24,27,10
1,34,12,30,2,3,9,25,47,29
19,21,48,4,27,10,32,44,37,0
2,3,6,29,42,30,38,45,12,34
10,27,46,19,21,0,17,28,4,36
7,39,35,28,0,40,17,34,9,11
52,86,65,76,58,75,77,51,54,56
56,75,65,86,91,74,58,54,85,97
50,86,77,76,58,65,54,75,51,56
89,80,69,92,81,94,90,82,59,99
58,75,86,76,74,65,51,63,91,126
66,90,96,94,78,95,99,84,61,88
51,85,91,86,127,70,138,63,78,75
93,98,60,81,80,59,79,69,64,53
75,54,76,65,86,74,51,97,52,63
89,94,53,80,69,64,88,99,81,96
93,57,81,80,98,53,69,89,59,79
96,78,95,99,88,97,71,66,55,91
92,69,67,82,80,87,53,81,89,71
91,73,78,97,126,138,54,127,133,55
82,79,88,99,69,59,92,89,80,81
75,58,86,51,74,54,50,76,52,97
84,55,96,78,61,95,88,94,99,90
92,82,99,69,94,95,96,71,88,90
87,72,119,54,73,146,123,78,62,126
80,89,92,81,82,53,67,94,99,79
138,127,149,85,56,126,91,78,63,121
97,82,92,61,99,74,67,96,95,94
133,123,146,83,119,126,54,63,73,68
63,91,78,97,55,72,54,74,58,133
97,75,58,65,54,51,71,91,78,63
65,58,74,54,51,86,97,76,91,50
58,52,86,54,77,50,75,65,133,72
52,86,147,76,110,133,123,54,116,111
91,63,61,97,55,73,66,138,96,126
81,80,69,64,82,92,67,89,53,99
81,69,53,89,92,79,82,59,67,94
80,69,79,89,53,92,82,67,64,59
92,99,67,69,71,94,96,89,64,88
133,101,142,149,123,72,126,127,138,146
66,55,96,88,94,95,90,99,61,78
56,70,51,91,78,61,138,66,63,127
52,65,58,50,76,75,77,54,51,56
68,72,62,54,97,74,73,71,58,119
95,96,99,94,61,82,66,55,92,67
53,69,94,80,92,99,82,59,90,81
94,55,96,99,89,67,95,92,53,88
63,78,73,97,51,56,74,138,54,61
82,67,99,69,94,89,71,96,80,53
57,60,98,81,80,79,59,69,53,89
