9.9945e-03,1.9997e-02,2.0004e-02,2.0004e-02,2.0004e-02,2.9991e-02,2.9999e-02,4.9995e-02,5.9998e-02,8.9996e-02,9.0004e-02,9.9991e-02,1.1000e-01,1.3000e-01,1.3999e-01,1.3999e-01,1.4000e-01,1.4999e-01,1.7000e-01,1.8999e-01,2.0999e-01,2.1000e-01,2.2000e-01,2.2000e-01,2.5999e-01,2.7000e-01,2.8999e-01,2.8999e-01,2.9001e-01,2.9999e-01
1.9997e-02,2.0004e-02,2.0004e-02,2.9999e-02,4.9995e-02,5.9998e-02,9.0004e-02,9.0004e-02,9.9998e-02,1.1001e-01,1.2000e-01,1.3000e-01,1.8000e-01,2.1000e-01,2.1001e-01,2.5000e-01,2.5000e-01,2.5999e-01,2.5999e-01,2.6000e-01,2.8000e-01,2.9001e-01,3.0000e-01,3.0000e-01,3.1001e-01,3.5000e-01,3.7000e-01,3.7000e-01,4.2001e-01,4.6000e-01
1.9997e-02,5.9998e-02,6.9992e-02,7.0000e-02,7.0000e-02,8.9989e-02,8.9996e-02,9.0004e-02,9.0004e-02,9.9991e-02,9.9998e-02,1.0999e-01,1.0999e-01,1.2999e-01,1.3999e-01,1.7000e-01,1.8999e-01,1.8999e-01,2.1999e-01,2.2000e-01,2.4000e-01,2.4999e-01,2.5999e-01,2.5999e-01,2.5999e-01,2.6000e-01,2.7000e-01,3.0000e-01,3.8000e-01,4.1000e-01
2.0004e-02,2.9999e-02,4.9995e-02,5.9998e-02,7.0000e-02,7.0007e-02,8.9996e-02,8.9996e-02,9.0000e-02,9.0000e-02,9.9998e-02,1.1000e-01,1.1001e-01,1.4000e-01,1.8000e-01,2.1000e-01,2.5000e-01,2.6000e-01,2.7000e-01,2.9001e-01,3.0000e-01,3.4000e-01,3.6000e-01,3.7000e-01,4.2001e-01,4.2001e-01,4.2001e-01,4.3000e-01,4.6001e-01,4.9000e-01
2.0004e-02,2.0004e-02,2.9999e-02,2.9999e-02,4.9995e-02,5.9998e-02,5.9998e-02,6.9992e-02,7.0000e-02,7.9994e-02,8.9989e-02,8.9996e-02,1.1000e-01,1.2000e-01,1.2000e-01,1.8001e-01,2.0000e-01,2.0999e-01,2.1000e-01,2.4999e-01,2.5999e-01,2.7000e-01,2.7000e-01,2.8000e-01,2.8000e-01,2.8999e-01,2.8999e-01,3.0000e-01,3.1000e-01,3.1999e-01
1.1001e-01,1.2000e-01,1.3000e-01,1.4000e-01,1.4999e-01,1.5000e-01,1.6000e-01,1.7000e-01,2.1000e-01,2.2999e-01,2.8000e-01,2.9000e-01,2.9000e-01,3.4999e-01,3.6999e-01,3.7000e-01,3.7999e-01,3.8000e-01,3.8000e-01,4.1999e-01,4.2000e-01,4.2000e-01,4.6000e-01,4.6000e-01,4.9000e-01,4.9000e-01,5.2000e-01,6.4999e-01,6.5999e-01,6.8999e-01
4.9995e-02,7.0000e-02,8.9996e-02,9.9991e-02,9.9998e-02,1.1000e-01,1.7001e-01,1.8000e-01,1.8000e-01,1.8000e-01,1.8000e-01,2.0000e-01,2.0000e-01,2.0999e-01,2.0999e-01,2.1000e-01,2.1999e-01,2.3000e-01,2.4001e-01,2.5000e-01,2.5999e-01,2.6000e-01,2.7000e-01,2.7000e-01,3.0000e-01,3.0000e-01,3.0000e-01,3.6000e-01,3.6999e-01,3.7000e-01
1.0002e-02,2.0004e-02,2.9999e-02,4.0001e-02,4.9995e-02,4.9995e-02,4.9995e-02,4.9995e-02,4.9995e-02,5.9998e-02,7.0007e-02,9.9998e-02,1.0999e-01,1.3000e-01,1.3999e-01,1.3999e-01,1.4000e-01,1.5000e-01,1.6999e-01,1.7000e-01,1.7999e-01,1.7999e-01,1.8000e-01,1.8000e-01,1.8000e-01,1.8000e-01,2.0000e-01,2.0000e-01,2.0000e-01,2.1000e-01
1.9997e-02,9.0000e-02,9.9998e-02,1.2000e-01,1.3000e-01,1.8000e-01,1.8000e-01,1.8999e-01,2.1999e-01,2.4000e-01,2.5999e-01,3.0000e-01,3.0000e-01,3.0999e-01,3.9000e-01,4.0999e-01,4.5000e-01,4.9001e-01,5.2000e-01,6.2000e-01,6.6000e-01,6.8999e-01,6.8999e-01,7.4000e-01,7.5001e-01,7.5001e-01,8.2999e-01,8.5000e-01,8.5000e-01,8.6000e-01
9.9945e-03,2.9991e-02,2.9999e-02,3.0006e-02,3.9993e-02,7.0000e-02,7.0000e-02,7.0007e-02,9.9998e-02,9.9998e-02,1.0999e-01,1.2000e-01,1.2000e-01,1.2000e-01,1.4000e-01,2.0000e-01,2.0000e-01,2.2000e-01,2.3000e-01,2.5000e-01,2.5000e-01,2.5999e-01,2.6001e-01,2.7000e-01,2.8000e-01,2.8001e-01,3.0999e-01,3.1000e-01,3.1000e-01,3.9000e-01
